quadID,species,year,treatment,cover,disturb,rowdif,minyear,maxyear
c108,PLER,1990,c,40,0,0,1990,21
c108,PLER,1991,c,5,4,1,1990,21
c108,PLER,1992,c,5,0,2,1990,21
c108,PLER,1993,c,2,0,3,1990,21
c108,PLER,1994,c,5,0,4,1990,21
c108,PLER,1995,c,5,0,5,1990,21
c108,PLER,1996,c,5,0,6,1990,21
c108,PLER,1997,c,10,0,7,1990,21
c108,PLER,1998,c,10,1,8,1990,21
c108,PLER,1999,c,2,0,9,1990,21
c108,PLER,2000,c,5,2,10,1990,21
c108,PLER,2001,c,10,0,11,1990,21
c108,PLER,2002,c,20,0,12,1990,21
c108,PLER,2003,c,10,1,13,1990,21
c108,PLER,2004,c,2,0,14,1990,21
c108,SIJU,1990,c,5,0,0,1990,21
c108,SIJU,1991,c,10,4,1,1990,21
c108,SIJU,1992,c,5,0,2,1990,21
c108,SIJU,1993,c,5,0,3,1990,21
c108,SIJU,1994,c,5,0,4,1990,21
c108,SIJU,1995,c,20,0,5,1990,21
c108,SIJU,1996,c,10,0,6,1990,21
c108,SIJU,1997,c,2,0,7,1990,21
c108,SIJU,1998,c,10,1,8,1990,21
c108,SIJU,1999,c,20,0,9,1990,21
c108,SIJU,2000,c,0,2,10,1990,21
c108,SIJU,2001,c,2,0,11,1990,21
c108,SIJU,2002,c,0,0,12,1990,21
c108,SIJU,2003,c,0,1,13,1990,21
c108,SIJU,2004,c,0,0,14,1990,21
c113,PLER,1999,c,10,0,0,1999,35
c113,PLER,2000,c,10,4,1,1999,35
c113,PLER,2001,c,20,0,2,1999,35
c113,PLER,2002,c,20,0,3,1999,35
c113,PLER,2003,c,20,0,4,1999,35
c113,PLER,2004,c,5,0,5,1999,35
c113,PLER,2005,c,5,0,6,1999,35
c113,PLER,2006,c,2,0,7,1999,35
c113,PLER,2007,c,2,0,8,1999,35
c113,PLER,2008,c,20,0,9,1999,35
c113,PLER,2009,c,30,0,10,1999,35
c113,PLER,2010,c,50,0,11,1999,35
c113,PLER,2011,c,10,2,12,1999,35
c113,PLER,2012,c,10,2,13,1999,35
c113,PLER,2013,c,10,0,14,1999,35
c113,PLER,2014,c,10,0,15,1999,35
c113,PLER,2015,c,40,0,16,1999,35
c113,PLER,2016,c,40,0,17,1999,35
c113,PLER,2017,c,30,0,18,1999,35
c113,PLER,2018,c,5,0,19,1999,35
c113,SIJU,1999,c,5,0,0,1999,35
c113,SIJU,2000,c,0,4,1,1999,35
c113,SIJU,2001,c,0,0,2,1999,35
c113,SIJU,2002,c,0,0,3,1999,35
c113,SIJU,2003,c,0,0,4,1999,35
c113,SIJU,2004,c,0,0,5,1999,35
c113,SIJU,2005,c,0,0,6,1999,35
c113,SIJU,2006,c,0,0,7,1999,35
c113,SIJU,2007,c,0,0,8,1999,35
c113,SIJU,2008,c,0,0,9,1999,35
c113,SIJU,2009,c,0,0,10,1999,35
c113,SIJU,2010,c,0,0,11,1999,35
c113,SIJU,2011,c,0,2,12,1999,35
c113,SIJU,2012,c,0,2,13,1999,35
c113,SIJU,2013,c,0,0,14,1999,35
c113,SIJU,2014,c,0,0,15,1999,35
c113,SIJU,2015,c,0,0,16,1999,35
c113,SIJU,2016,c,0,0,17,1999,35
c113,SIJU,2017,c,2,0,18,1999,35
c113,SIJU,2018,c,2,0,19,1999,35
c115,PLER,1988,c,30,0,0,1988,26
c115,PLER,1989,c,20,4,1,1988,26
c115,PLER,1990,c,30,0,2,1988,26
c115,PLER,1991,c,5,0,3,1988,26
c115,PLER,1992,c,10,0,4,1988,26
c115,PLER,1993,c,2,0,5,1988,26
c115,PLER,1994,c,5,0,6,1988,26
c115,PLER,1995,c,10,0,7,1988,26
c115,PLER,1996,c,10,0,8,1988,26
c115,PLER,1997,c,20,0,9,1988,26
c115,PLER,1998,c,30,0,10,1988,26
c115,PLER,1999,c,2,0,11,1988,26
c115,PLER,2000,c,10,0,12,1988,26
c115,PLER,2001,c,20,0,13,1988,26
c115,PLER,2002,c,5,0,14,1988,26
c115,PLER,2003,c,2,0,15,1988,26
c115,PLER,2004,c,0,0,16,1988,26
c115,PLER,2005,c,0,0,17,1988,26
c115,PLER,2006,c,2,3,18,1988,26
c115,PLER,2007,c,5,3,19,1988,26
c115,PLER,2008,c,10,1,20,1988,26
c115,PLER,2009,c,40,0,21,1988,26
c115,SIJU,1988,c,5,0,0,1988,26
c115,SIJU,1989,c,2,4,1,1988,26
c115,SIJU,1990,c,10,0,2,1988,26
c115,SIJU,1991,c,20,0,3,1988,26
c115,SIJU,1992,c,20,0,4,1988,26
c115,SIJU,1993,c,10,0,5,1988,26
c115,SIJU,1994,c,10,0,6,1988,26
c115,SIJU,1995,c,20,0,7,1988,26
c115,SIJU,1996,c,20,0,8,1988,26
c115,SIJU,1997,c,10,0,9,1988,26
c115,SIJU,1998,c,5,0,10,1988,26
c115,SIJU,1999,c,20,0,11,1988,26
c115,SIJU,2000,c,0,0,12,1988,26
c115,SIJU,2001,c,0,0,13,1988,26
c115,SIJU,2002,c,5,0,14,1988,26
c115,SIJU,2003,c,0,0,15,1988,26
c115,SIJU,2004,c,0,0,16,1988,26
c115,SIJU,2005,c,0,0,17,1988,26
c115,SIJU,2006,c,1,3,18,1988,26
c115,SIJU,2007,c,1,3,19,1988,26
c115,SIJU,2008,c,0,1,20,1988,26
c115,SIJU,2009,c,0,0,21,1988,26
c120,PLER,1999,c,10,0,0,1999,35
c120,PLER,2000,c,30,4,1,1999,35
c120,PLER,2001,c,30,0,2,1999,35
c120,PLER,2002,c,30,0,3,1999,35
c120,PLER,2003,c,5,0,4,1999,35
c120,PLER,2004,c,2,0,5,1999,35
c120,PLER,2005,c,10,1,6,1999,35
c120,PLER,2006,c,10,0,7,1999,35
c120,PLER,2007,c,10,0,8,1999,35
c120,PLER,2008,c,20,1,9,1999,35
c120,PLER,2009,c,40,0,10,1999,35
c120,PLER,2010,c,30,0,11,1999,35
c120,PLER,2011,c,20,0,12,1999,35
c120,PLER,2012,c,10,1,13,1999,35
c120,PLER,2013,c,20,0,14,1999,35
c120,PLER,2014,c,10,0,15,1999,35
c120,PLER,2015,c,40,0,16,1999,35
c120,PLER,2016,c,40,0,17,1999,35
c120,PLER,2017,c,20,0,18,1999,35
c120,PLER,2018,c,2,0,19,1999,35
c120,SIJU,1999,c,5,0,0,1999,35
c120,SIJU,2000,c,0,4,1,1999,35
c120,SIJU,2001,c,0,0,2,1999,35
c120,SIJU,2002,c,0,0,3,1999,35
c120,SIJU,2003,c,0,0,4,1999,35
c120,SIJU,2004,c,0,0,5,1999,35
c120,SIJU,2005,c,0,1,6,1999,35
c120,SIJU,2006,c,0,0,7,1999,35
c120,SIJU,2007,c,0,0,8,1999,35
c120,SIJU,2008,c,0,1,9,1999,35
c120,SIJU,2009,c,0,0,10,1999,35
c120,SIJU,2010,c,0,0,11,1999,35
c120,SIJU,2011,c,0,0,12,1999,35
c120,SIJU,2012,c,0,1,13,1999,35
c120,SIJU,2013,c,0,0,14,1999,35
c120,SIJU,2014,c,0,0,15,1999,35
c120,SIJU,2015,c,0,0,16,1999,35
c120,SIJU,2016,c,0,0,17,1999,35
c120,SIJU,2017,c,0,0,18,1999,35
c120,SIJU,2018,c,0,0,19,1999,35
c124,PLER,1989,c,30,3,0,1989,26
c124,PLER,1990,c,30,4,1,1989,26
c124,PLER,1991,c,10,2,2,1989,26
c124,PLER,1992,c,20,0,3,1989,26
c124,PLER,1993,c,30,0,4,1989,26
c124,PLER,1994,c,20,0,5,1989,26
c124,PLER,1995,c,20,0,6,1989,26
c124,PLER,1996,c,20,0,7,1989,26
c124,PLER,1997,c,50,0,8,1989,26
c124,PLER,1998,c,60,0,9,1989,26
c124,PLER,1999,c,5,0,10,1989,26
c124,PLER,2000,c,50,3,11,1989,26
c124,PLER,2001,c,40,0,12,1989,26
c124,PLER,2002,c,20,0,13,1989,26
c124,PLER,2003,c,10,0,14,1989,26
c124,PLER,2004,c,5,0,15,1989,26
c124,PLER,2005,c,10,2,16,1989,26
c124,PLER,2006,c,5,0,17,1989,26
c124,PLER,2007,c,2,1,18,1989,26
c124,PLER,2008,c,10,0,19,1989,26
c124,PLER,2009,c,40,0,20,1989,26
c124,SIJU,1989,c,10,3,0,1989,26
c124,SIJU,1990,c,20,4,1,1989,26
c124,SIJU,1991,c,20,2,2,1989,26
c124,SIJU,1992,c,10,0,3,1989,26
c124,SIJU,1993,c,10,0,4,1989,26
c124,SIJU,1994,c,10,0,5,1989,26
c124,SIJU,1995,c,25,0,6,1989,26
c124,SIJU,1996,c,5,0,7,1989,26
c124,SIJU,1997,c,5,0,8,1989,26
c124,SIJU,1998,c,5,0,9,1989,26
c124,SIJU,1999,c,0,0,10,1989,26
c124,SIJU,2000,c,0,3,11,1989,26
c124,SIJU,2001,c,0,0,12,1989,26
c124,SIJU,2002,c,0,0,13,1989,26
c124,SIJU,2003,c,1,0,14,1989,26
