quadID,species,year,treatment,cover,disturb,rowdif,minyear,maxyear
c104,MIDO,1990,c,5,4,0,1990,35
c104,MIDO,1991,c,5,4,1,1990,35
c104,MIDO,1992,c,20,0,2,1990,35
c104,MIDO,1993,c,50,0,3,1990,35
c104,MIDO,1994,c,40,0,4,1990,35
c104,MIDO,1995,c,20,0,5,1990,35
c104,MIDO,1996,c,30,2,6,1990,35
c104,MIDO,1997,c,2,0,7,1990,35
c104,MIDO,1998,c,0,0,8,1990,35
c104,MIDO,1999,c,0,0,9,1990,35
c104,MIDO,2000,c,5,3,10,1990,35
c104,MIDO,2001,c,10,3,11,1990,35
c104,MIDO,2002,c,5,0,12,1990,35
c104,MIDO,2003,c,2,0,13,1990,35
c104,MIDO,2004,c,0,0,14,1990,35
c104,MIDO,2005,c,0,0,15,1990,35
c104,MIDO,2006,c,0,0,16,1990,35
c104,MIDO,2007,c,5,2,17,1990,35
c104,MIDO,2008,c,5,2,18,1990,35
c104,MIDO,2009,c,30,0,19,1990,35
c104,MIDO,2010,c,70,0,20,1990,35
c104,MIDO,2011,c,40,2,21,1990,35
c104,MIDO,2012,c,40,3,22,1990,35
c104,MIDO,2013,c,50,0,23,1990,35
c104,MIDO,2014,c,10,0,24,1990,35
c104,MIDO,2015,c,2,0,25,1990,35
c104,MIDO,2016,c,0,0,26,1990,35
c104,MIDO,2017,c,0,0,27,1990,35
c104,MIDO,2018,c,0,2,28,1990,35
c104,PLER,1990,c,20,4,0,1990,35
c104,PLER,1991,c,2,4,1,1990,35
c104,PLER,1992,c,5,0,2,1990,35
c104,PLER,1993,c,2,0,3,1990,35
c104,PLER,1994,c,5,0,4,1990,35
c104,PLER,1995,c,5,0,5,1990,35
c104,PLER,1996,c,10,2,6,1990,35
c104,PLER,1997,c,50,0,7,1990,35
c104,PLER,1998,c,60,0,8,1990,35
c104,PLER,1999,c,10,0,9,1990,35
c104,PLER,2000,c,40,3,10,1990,35
c104,PLER,2001,c,20,3,11,1990,35
